cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,9/30/2016,SM,,,4.458678859,0.162473625,4.296205234,0.478227593,2.960886203,0.193353474,1.70408862,1.70408862,1.175589124,11.98603745,,5.18E-03,5000,354,65.49568324,6.29422,,89.65749529,0.681517648,29.00956161,2.131161605,2.349286271,74.46069569,88.94827141,94.17968153,83.71235832,14.1266114,12.87078918,,16.50236651,16.50236651,17.28881565,310312.5,278199,44118,231624
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,9/30/2016,NM,,,4.442174214,0.697094438,3.745079775,1.006500315,3.419520299,9.03E-02,0.847352829,0.847352829,0.847352829,9.932564442,,-5.23E-02,-210,,78.47976308,5.116166667,,90.05657448,0.847655339,118.6932849,6.63799937,0.714156103,83.07000684,97.85611953,105.5099648,84.88994581,8.8564572,8.907533417,,9.882605881,9.882605881,10.68152112,92995.5,83202.5,7933.5,76494
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,9/30/2016,SM,,,3.737822255,0.123710429,3.614111825,0.237196986,2.25746097,0,1.325031439,1.325031439,1.325031439,11.3257013,,0,,,63.01369863,5.96125,,92.76997274,3.609727725,168.0203046,1.239253512,2.1483878,55.60075488,63.48248701,63.48248701,87.58439925,12.12203816,12.01296677,,20.83318318,20.83318318,24.41169051,48904.5,45267,5721.5,27052
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,9/30/2016,SM,,,4.478245259,0.127297059,4.3509482,1.01399385,2.360107425,0.220433446,2.351290087,2.480611042,2.480611042,26.65613897,,0.863693755,42.37288136,4.943502825,47.8545888,3.154581395,,89.8309583,1.114593797,787.1794872,0.148915936,0.141593349,60.23723341,66.72873231,67.539531,90.27180844,9.488599084,9.157875525,,14.88548712,14.88548712,15.97840275,136095.5,122548,12665,81973.5
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,9/30/2016,SB,,,3.850046511,0.191046731,3.658999779,0.185185571,2.939612403,0.151818802,0.320320988,0.320320988,0.448783051,3.149541717,,0,,,83.03487276,6.0477,,91.87377019,1.261772659,43.30866173,2.52244655,2.913441813,70.03447592,79.74910563,83.52799649,87.81850952,10.11954958,9.985112067,,16.6636035,16.6636035,17.91609658,239759.5,219841.5,24384.5,172461.5
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,9/30/2016,NM,,,4.640216359,0.147308456,4.492907903,0.672691398,3.516532901,8.43E-02,0.972776362,0.977438857,1.183880685,9.050862335,,1.79E-02,666.6666667,100.3333333,72.55650132,4.382269841,,91.64091958,1.009808588,116.6005666,0.6393005,0.866040893,73.07331491,82.9559239,88.21641429,88.08691589,11.2770435,10.02791788,,12.25251903,12.25251903,13.15749245,284826,260677.5,30759.5,200917.5
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,9/30/2016,NM,,,2.830745036,0.23589542,2.594849617,0.226858695,2.536692675,6.87E-03,0.130615612,0.130615612,0.178737153,1.551495356,,0,,,93.18181818,4.106785714,,96.08313766,0.954026713,378.5714286,0.121749717,0.252007056,47.85111749,60.69671498,65.7741226,78.83642056,8.536394469,8.465425945,,21.16520764,21.16520764,22.30799086,58186,55957,4898.5,27891.5
58485,0,,3594797,0,1ST CAPITAL BANK,Monterey,CA,93940,9/30/2016,NM,,,3.356532022,0.124430499,3.232101523,5.61E-02,2.179196674,0.190698405,0.482354789,0.482354789,0.813646527,5.531910332,,-1.31E-02,-1961.538462,,68.45196148,7.174082192,,96.65405149,1.516705585,386.3495985,0.309141735,0.392573356,77.5531403,85.45279343,86.2803913,90.75553553,8.976567095,8.942946881,,12.97106637,12.97106637,14.22742765,534876,517558,46638.5,398383
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,9/30/2016,NM,,,3.759258699,0.419424999,3.3398337,0.863044248,2.53282898,0.210088668,0.862203893,0.862203893,1.365576341,12.3999154,,0.163711575,178.5714286,13.39285714,61.6485989,9.091226415,,97.24719043,1.363951364,252.6790451,0.479832308,0.539795994,71.48567456,77.77133026,82.65435165,91.91777268,6.974171656,6.82285571,,10.67731586,10.67731586,11.93062328,475989.5,462538,33097,342065
11706,12404,1204083,338945,0,1ST COMMUNITY BANK,Sherrard,IL,61281,9/30/2016,NM,,,3.671479109,0.646680979,3.024798129,0.175849021,2.593773061,9.42E-02,0.213530954,0.213530954,0.219811276,2.133835412,,0,,,89.20086393,3.467777778,,89.24863826,0.947225981,2800,2.40E-02,0.033829499,70.36206344,78.60965438,94.30761633,89.50817046,10.14738866,9.930432845,,14.32935934,14.32935934,15.29414467,63691,57524.5,6373.5,44528.5
27552,10064,2784920,1412619,0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,9/30/2016,NM,,,4.363879348,0.464927649,3.898951699,0.662886144,2.707663915,0,1.041409198,1.041409198,1.603355861,9.344965252,,-2.10E-03,0,,61.92556352,5.329843434,,93.61333979,0.985191853,142.9171439,0.526859905,0.689344767,71.29343159,90.91497905,94.04998225,78.41769567,11.3230343,10.32697888,,11.59287813,11.59287813,12.40653929,1062022.5,993703,118352.5,762326
34393,0,2531553,2531562,0,1ST EQUITY BANK,Skokie,IL,60076,9/30/2016,NM,,,4.068396557,0.515270489,3.553126068,0.159025218,2.295120719,6.45E-02,1.188906917,1.319479515,1.340969409,8.530147263,,0,,,64.3373494,7.204538462,,95.21241952,1.075620938,257.2289157,1.341035031,0.418157086,83.85953299,104.584615,113.3918517,80.18343138,15.35677297,15.2334855,,19.13192689,19.13192689,20.26789752,93067,89273.5,14396,77806
57611,0,3203987,3203996,0,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,9/30/2016,NM,,,3.550846144,0.665079119,2.885767025,0,2.597332029,0,0.184747467,0.184747467,0.184747467,0.838574423,,0,,,93.359375,9.1635,,96.38511486,1.173126057,121.1895911,0.733889889,0.968008924,74.92497408,96.40537789,104.1764661,77.71866645,22.12582529,22.10230834,,32.20554364,32.20554364,33.46040823,36807,35484.5,8109,27770
1673,0,,526452,0,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,9/30/2016,NM,,,21.28312529,2.27263302,19.01049227,2.826684134,14.05139372,3.682951082,1.140705727,1.140705727,1.999333162,5.682828773,,3.550496452,132.4209633,2.043072353,71.20514354,1.792457672,,88.96935867,4.580951524,161.7401669,2.239395232,2.832290588,75.09154319,101.8584622,377.6700615,73.72145778,20.22112054,20.17475917,,23.01611034,23.01611034,24.30140944,677826,602825,136059,530968
58548,0,,3655081,0,1ST MANATEE BANK,Bradenton,FL,34203,9/30/2016,NM,,,4.733040964,0.763206483,3.969834481,0.209885891,3.31300894,0.116898471,0.228377104,0.217856241,0.414458215,1.904540704,,5.69E-02,258.8235294,11.76470588,86.17829993,4.693757576,,92.06102238,0.932112113,64.80855856,1.146590572,1.438254659,78.97788165,91.65299349,102.1962691,86.17054244,13.68161452,14.16146223,,18.18606542,18.18606542,19.18188661,150558,137839.5,17222,119479.5
6646,8805,,480723,0,1ST NATIONAL BANK,Lebanon,OH,45036,9/30/2016,N,,,3.833370095,0.629767944,3.203602151,4.671854593,6.241837179,0.176861123,1.118306487,1.118306487,1.118306487,11.05247235,,9.62E-02,260,19.04,82.81588448,1.861938272,,89.61390294,0.964029587,51.11996018,1.956012916,1.885818346,69.95564161,79.23234629,86.25256497,88.29177082,9.9219584,9.757321256,,15.00184921,15.00184921,16.21070428,147008,131477,14874.5,103924
