DATE,USSTHPI
2000-01-01,230.19
2000-04-01,233.95
2000-07-01,238.21
2000-10-01,241.86
2001-01-01,247.84
2001-04-01,251.99
2001-07-01,255.91
2001-10-01,259.07
2002-01-01,262.79
2002-04-01,267.27
2002-07-01,272.57
2002-10-01,276.44
2003-01-01,279.8
2003-04-01,283.22
2003-07-01,287.59
2003-10-01,295.74
2004-01-01,300.38
2004-04-01,307.73
2004-07-01,319.46
2004-10-01,326.3
2005-01-01,333.78
2005-04-01,344.47
2005-07-01,354.91
2005-10-01,362.94
2006-01-01,368.7
2006-04-01,372.47
2006-07-01,375.53
2006-10-01,379.38
2007-01-01,380.79
2007-04-01,380.55
2007-07-01,376.3
2007-10-01,375.09
2008-01-01,372.36
2008-04-01,362.97
2008-07-01,351.54
2008-10-01,348.3
2009-01-01,350.88
2009-04-01,341.65
2009-07-01,332.7
2009-10-01,330.18
2010-01-01,326.23
2010-04-01,323.3
2010-07-01,326.42
2010-10-01,324.07
2011-01-01,315.11
2011-04-01,309.59
2011-07-01,311.92
2011-10-01,313.34
2012-01-01,310.03
2012-04-01,308.66
2012-07-01,312.76
2012-10-01,315.19
2013-01-01,316.8
2013-04-01,321.68
2013-07-01,326.46
2013-10-01,329.13
2014-01-01,331.94
2014-04-01,338.37
2014-07-01,343.25
2014-10-01,346.08
2015-01-01,349.81
2015-04-01,355.57
2015-07-01,360.74
2015-10-01,363.72
2016-01-01,367.1
2016-04-01,374.0
2016-07-01,380.67
2016-10-01,383.71
2017-01-01,386.7
2017-04-01,395.56
2017-07-01,401.76
2017-10-01,405.18
2018-01-01,410.95
2018-04-01,418.59
2018-07-01,423.64
2018-10-01,425.2
