DATE,QUSPAM770A
2000-10-01,134.7
2001-01-01,134.2
2001-04-01,136.2
2001-07-01,138.3
2001-10-01,139.2
2002-01-01,139.8
2002-04-01,140.8
2002-07-01,141.7
2002-10-01,143.1
2003-01-01,143.5
2003-04-01,145.9
2003-07-01,146.7
2003-10-01,146.8
2004-01-01,147.2
2004-04-01,148.1
2004-07-01,148.9
2004-10-01,150.6
2005-01-01,150.7
2005-04-01,152.3
2005-07-01,153.5
2005-10-01,154.8
2006-01-01,156.4
2006-04-01,158.2
2006-07-01,159.6
2006-10-01,161.3
2007-01-01,162.4
2007-04-01,165.0
2007-07-01,166.9
2007-10-01,168.5
2008-01-01,169.3
2008-04-01,169.1
2008-07-01,170.0
2008-10-01,168.5
2009-01-01,167.8
2009-04-01,168.4
2009-07-01,168.5
2009-10-01,166.9
2010-01-01,165.0
2010-04-01,162.5
2010-07-01,160.6
2010-10-01,158.7
2011-01-01,157.1
2011-04-01,155.7
2011-07-01,154.6
2011-10-01,153.8
2012-01-01,152.2
2012-04-01,151.0
2012-07-01,150.7
2012-10-01,150.7
2013-01-01,149.4
2013-04-01,149.3
2013-07-01,149.5
2013-10-01,149.5
2014-01-01,149.3
2014-04-01,149.1
2014-07-01,148.2
2014-10-01,148.1
2015-01-01,147.3
2015-04-01,147.9
2015-07-01,147.8
2015-10-01,147.7
2016-01-01,148.2
2016-04-01,148.8
2016-07-01,150.0
2016-10-01,149.6
2017-01-01,149.8
2017-04-01,150.4
2017-07-01,150.5
2017-10-01,151.3
2018-01-01,150.3
2018-04-01,151.0
2018-07-01,150.5
2018-10-01,150.3
